Sample,Strain,THC-Total,CBD-Total
Foo Dog #12 Male,,1.31%,< 0.01%
Foo Dog #3 Male,,1.52%,< 0.01%
Swiss Gold #26 Male,,0.80%,1.07%
Swiss Gold #18 Male,,2.63%,< 0.01%
Swiss Gold #6 Male,,1.29%,< 0.01%
Miami Blues #24,,3.29%,0.02%
Under Foo #35 Male,,2.51%,< 0.01%
Under Foo #27 Male,,2.65%,0.01%
Under Foo #11 Male,,2.40%,< 0.01%
Foo Dog #11 Male,,2.48%,< 0.01%
Under Foo #8 Male,,2.06%,< 0.01%
Blue Dog #31 Male,,0.73%,0.74%
Blue Dog #19 Male,,2.20%,0.01%
Gorilla Glue #4,,24.08%,0.24%
Charlotte’s Web,,2.39%,3.75%
Dutch Treat,,23.78%,0.21%
Blue Chernobyl,,13.15%,0.17%
Jack Herer,,18.00%,0.17%
GC Labs Gorilla Glue #4,,24.01%,0.13%
GC Labs Chem Dawg,,20.20%,0.17%
GC Labs Blue Magoo,,21.41%,0.22%
GC Labs White Fire OG,,23.93%,0.22%
GC Labs Green Crack,,20.53%,0.16%
Master Kush,,13.33%,0.09%
Matanuska Thunder Fuck,,14.88%,0.13%
Tango (Double B Farms),,19.74%,0.21%
Sour Diesel,,20.89%,0.26%
Cookies,,21.74%,0.13%
Hawaiian Dutch,,24.98%,0.12%
Uncle Jim,,N/A,N/A
Tammy Faye,,23.45%,0.32%
OGKB,,21.67%,0.12%
WiFi,,26.14%,0.38%
Frank,,22.36%,0.19%
Cotton Candy,,17.73%,0.16%
Adros Garden SKy Walker,,19.13%,0.15%
MT. P.X.,,15.69%,0.14%
Abby & Brian’s Grape God,,24.03%,0.11%
Koffee Flower,,23.32%,0.25%
Pineapple Kush,,18.99%,0.13%
Blueberry Pie,,20.34%,0.12%
Grandaddy Purple,,15.77%,< 0.01%
Taffie,,19.58%,0.03%
Space Bomb,,N/A,N/A
Banana OG,,23.05%,0.21%
GG #4,,20.16%,0.26%
Sour Kosher,,19.63%,0.22%
Rasbacca,,19.78%,0.25%
Frankyodd S1,,19.98%,0.20%
Lemon OG,,20.89%,0.51%
Ghost Train Haze,,21.52%,0.20%
Gold Leaf,,17.55%,0.21%
Dutch Treat,,27.91%,0.23%
Strawberry Blue 0354,,12.42%,0.11%
Critical Sensei Star 0350,,23.23%,0.22%
Chemmy Jones 0334,,21.89%,0.30%
EGB Sour Diesel 1570,,16.82%,0.16%
