id_x,names,type,crosses,breeder,effects,ailment,flavor,name,category,THC-Total,CBD-Total
3347,Euphoria Candy,Hybrid,,Mad Scientist,,,,,,,
3348,Orange Euphoria,Hybrid,,Unknown Breeder,,,,,,,
3349,Ice Cream Cake F2,Hybrid,,Mad Scientist,,,,,,,
3350,Dream Cookie Glue F2,Hybrid,,Mad Scientist,,,,,,,
3351,Confidential Cookies,Hybrid,,Mad Scientist,,,,,,,
3352,Dream Cookie F2,Hybrid,,Mad Scientist,,,,,,,
3353,Stupor Glue,Hybrid,,Alpha Kronik Genes,,,,,,,
3354,The Bern,Hybrid,,Alpha Kronik Genes,,,,,,,
3355,Warhammer,Hybrid,,4Dragons,,,,,,,
3356,Lovelace,Hybrid,,Alpha Kronik Genes,,,,,,,
3357,Queen Of Hearts (AlphaKronik),Hybrid,,Alpha Kronik Genes,,,,,,,
3358,Alice,Hybrid,,Alpha Kronik Genes,,,,,,,
3359,Bandersnatch,Hybrid,,Alpha Kronik Genes,,,,,,,
3360,Madhatter,Hybrid,,Alpha Kronik Genes,,,,,,,
3361,Tesla,Hybrid,,Alpha Kronik Genes,,,,,,,
3362,White Rabbit,Hybrid,,Alpha Kronik Genes,,,,,,,
3363,Mango Candy Kush,Hybrid,,Unknown Breeder,,,,,,,
3364,Prometheus,Hybrid,,Revolutionary Seeds,,,,,,,
3365,Lavoo,Hybrid,,Revolutionary Seeds,,,,,,,
3366,Mojo (Revolutionary),Hybrid,,Revolutionary Seeds,,,,,,,
3367,Creeper,Hybrid,,Revolutionary Seeds,,,,,,,
3368,303 Stooges,Hybrid,,Dark Horse Genetics,,,,303 Stooges - Shatter,"Concentrate,Shatter,",,
3369,Clown Shoes OG,Hybrid,,Dark Horse Genetics,,,,,,,
3370,Albino Leprechaun,Hybrid,,Cabin Fever Seed Breeders,,,,,,,
3371,Blue Chem #4,Hybrid,,Cabin Fever Seed Breeders,,,,,,,
3372,Cereal Killer,Hybrid,,Cabin Fever Seed Breeders,,,,,,,
3373,Bubba x Bubba,Hybrid,,Mountain Genetics,,,,,,,
3374,Trainwreck x Bubba Kush,Hybrid,,Mountain Genetics,,,,,,,
3375,Chocolate Chunk x Bubba Kush,Hybrid,,Mountain Genetics,,,,,,,
3376,Banana Kush x Bubba,Hybrid,,Mountain Genetics,,,,,,,
3377,The Blintz,Hybrid,,Terraform Genetics,,,,,,,
3378,Double Stuffed Orange Cookies,Hybrid,,Terraform Genetics,,,,,,,
3379,Alien Orange Reclookie,Hybrid,,Terraform Genetics,,,,,,,
3380,Candy Korn,Hybrid,,Terraform Genetics,,,,,,,
3381,Kuato,Hybrid,,Terraform Genetics,,,,,,,
3382,Duke Nukem,Hybrid,,Cabin Fever Seed Breeders,,,,,,,
3383,Satori Haze,Hybrid,,Cabin Fever Seed Breeders,,,,,,,
3384,Alien Chemmander,Hybrid,,Cabin Fever Seed Breeders,,,,,,,
3385,Chemmando,Hybrid,,Cabin Fever Seed Breeders,,,,,,,
3386,Alexander Kush,Hybrid,,Cabin Fever Seed Breeders,,,,,,,
3387,Blue Geez,Hybrid,,Cabin Fever Seed Breeders,,,,,,,
3388,Stairway To Heaven,Hybrid,,AliGee Seed Co.,,,,,,,
3389,Faded Alien,Hybrid,,Cabin Fever Seed Breeders,,,,,,,
3390,Alienfields,Hybrid,,AliGee Seed Co.,,,,,,,
3391,Sour OG (AliGee),Hybrid,,AliGee Seed Co.,,,,,,,
3392,Flintstones,Hybrid,,AliGee Seed Co.,,,,,,,
3393,Channel+,Hybrid,,Medical Seeds Co.,,,,,,,
3394,Green Monster,Hybrid,,Unknown Breeder,,,,,,,
3395,Frosty Kush,Hybrid,,GreenLabel Seeds,,,,Frosty Kush - Wax,"Concentrate,Wax,",,
